q,a,d,c
หยาดเข้าโรงพยาบาล แล้วหยาดเป็นอะไร?,เป็นประธาน,“หยาด” เป็นประธาน (“เข้า” เป็นกริยา และ“โรงพยาบาล” เป็นกรรม),General
ไหว้น้ำท่าอะไร ต้องใส่หมวกกันน็อค?,ท่าจะบ้า,ท่าจะบ้า,General
มดอะไรกัดเจ็บที่สุด?,มดทอระยิด,มดทอระยิด (มิตรทรยศ),คำผวน
ชมรมดนตรีกลัวอะไร?,ชมรมจิ๊กซอ,ชมรมจิ๊กซอ (เอาซอไปเครื่องดนตรีก็ไม่ครบดิ),General
กำอะไรเอ่ย ไว้กินกับส้มตำ?,กำซิก,กำซิก ผวนเป็น กิ๊กซำ,คำผวน
รถ TOYOTA รุ่นไหนคันเล็กที่สุด?,โตโยต้า อันติ๊ด,โตโยต้า อันติ๊ด,General
คาถาอะไรช่วยประหยัดค่าโทรศัพท์?,พุทธโธ,พุทธโธ – พุธโทร (วันพุธค่อยโทร วันอื่นห้ามโทร),General
ปลาอะไรเอ่ย ขี้เกียจ?,ปลาวาฬ,ปลาวาฬ (ชอบวาน ไม่ยอมทำเอง),General
แมวอะไรเอ่ย ห้ามขับ?,แมวเล้า,แมวเล้า (เมาแล้ว),คำผวน
มีกษัตริย์องค์หนึ่งมาเจอกับชายหนุ่ม จึงถามชายหนุ่มว่าอายุเท่าไหร่แล้ว ชายหนุ่มตอบว่า 18 ครับ แล้วท่านล่ะ กษัตริย์ตอบว่า 40 เวลาผ่านไป 10 ปี ทั้งคู่ก็มาเจอกันอีก กษัตริย์ถามชายหนุ่มว่าตอนนี้อายุเท่าไหร่แล้ว 28 ครับ แล้วท่านล่ะ กษัตริย์องค์นั้นตอบว่า 40 ทำไมเวลาผ่านไป 10 ปีแล้ว แต่กษัตริย์องค์นี้จึงอายุเท่าเดิม?,ตรัสแล้วไม่คืนคำ,"เพราะกษัตริย์ ตรัสแล้วไม่คืนคำ
",General
ปลาช่อนเป็นลูกใคร?,ไก่แก่,ไก่แก่ เพราะไก่! แก่ แม่ปลาช่อน,General
ไก่อะไรเป็นฆาตกร ?,ไก่จิกเด็กตายบนปากโอ่ง,ไก่จิกเด็กตายบนปากโอ่ง,General
มันอะไรเอ่ยข้างนอกสีแดง ข้างในสีเขียว ?,มันมีซะที่ไหนล่ะ,มันมีซะที่ไหนล่ะ,General
สมมติวันนี้แมนยูฯ แตะกับเชลซี คุณจะเชียร์ข้างไหน เพราะอะไร?,ข้างสนาม,ข้างสนาม เพราะเชียร์ในสนามไม่ได้ หุหุ,General
ถ้าหายใจไม่ออกคุณต้องทำอย่างไร?,หายใจเข้า,หายใจเข้า,General
สมมติมีรถจักรยานอยู่คันนึง นาย ก นั่งหน้า นาย ข นั่งกลาง นาย ค นั่งหลัง ใครเป็นเจ้าของรถ?,สมมติ,"สมมติ
",General
รถชนกับเรือจะเป็นอะไร?,เป็นไปไม่ได้,เป็นไปไม่ได้,General
สมมติว่าแมวผสมกับยีราฟจะเป็นอะไร?,เป็นเรื่องสมมติ,เป็นเรื่องสมมติ,General
นักกีฬาเกลียดอะไร?,สถิติ,สถิติ เห็นมีแต่คนจะทำลาย,General
ทำไมแปรงสีฟันถึงหาย?,สบู่ลักส์,สบู่ลักส์,General
ปลาอะไรไม่มีสัมมาคาราวะ ?,ปลาตาย,ปลาตาย (มันไม่ไหว้),General
ไก่ 1 ตัวมี 2 ขา แล้วไก่ 2 ขา มีกี่ตัว?,มีทั่วไป,มีทั่วไป (ไก่ที่ไหนๆ ก็มี 2 ขาทั้งนั้นแหละ),General
อะไร อยู่บนไอติม,คากคก,คางคก (คางคกขึ้นวอลล์),General
แกงเขียวหวาน ทำอะไรถึงจะอร่อย,กิน,กินสิ ไม่กินจะอร่อยได้ไง,General
ปลาอะไร 2000 บาท,ปาขยะไม่ลงถัง,ปาขยะไม่ลงถัง ปรับ 2000 บาท,General
ปลาอะไร เข้าวัดไม่ได้,ปาหัวเจ้าอาวาส,ปาหัวเจ้าอาวาส,General
ปลาอะไรอยู่ได้5ปี++,ปลาหยุด,ปลาหยุด (ประยุทธ์),การเมือง
ปลาอะไร ชื่อยาวที่สุด,ปาเจรา,ปาเจรา.…ขัตติยา..โหตุ…..จำไม่ ได้แล้วยาวมาก,General
ปลาอะไร สุภาพที่สุด,ปลาคราฟ,ปลาคร้าบบบ…ฟ….,General
ทำไม ปลาจึงวางไข่,ถ้าโยน ไข่จะแตก,เพราะถ้าโยน ไข่จะแตก,General
เบคแฮมโดนใบแดงแล้วไปไหน,ไปเป็นทหาร,ไปเป็นทหาร,General
เลขอะไรมาก่อน 1 2 3,122,ก้อ ...เลข 1 2 2 ไง้,General
อะไรเอ่ย ...นั่งก็ห้อย ยืนก็ห้อย ร้อยทั้งร้อยเป็นของผู้ชาย,เนคไท,เนคไท,General
แมวอะไรเอ่ยอยู่ในดิน ?,แมวกัน,แมวกัน (มันแกว),General
มดอะไรเอ่ยใหญ่กว่ามดเอ็กซ์,มดเอ็กซ์แอล,มดเอ็กซ์แอล,General
อะไรเอ่ย ..ตามไดโนเสาร์มา,ไดโนอาทิตย์,ไดโนอาทิตย์,General
ซุปอะไรมีสารอาหารมากที่สุด,ซุปเปอร์มาร์เกต,ซุปเปอร์มาร์เกต,General
ถั่วโก๋แก่ทำมาจากอะไร,มัน,มัน (โก๋แก่มันทุกเม็ด),General
ในห้องน้ำ อะไรน่าสงสารที่สุด,โถส้วม,โถ.. ส้วม,General
มีคน 100 คน ยืนบนหน้าผา อยากรู้ว่า คนที่เท่าไหร่จะตกหน้าผาตาย?,9,คนที่ 9 (คนที่ก้าว),General
ปลาอะไรคุมทะเล,ปลาเก๋า,ปลาเก๋า,General
รูอะไรทั้งชีวิตมีปากกาด้ามเดียว,วันเพ็ญ,ครูวันเพ็ญ (One pen),General
ระฆังชาติใดดีที่สุด,เบลเยี่ยม,เบลเยี่ยม (Bell),General
ตออะไรอยู่ในบ้าน,ตอระตัด,ตอระตัด(โทรทัศน์),General
คนเราต้องกินอะไรทุกวัน(ห้ามตอบกินน้ำ),ก้ำนิน,ก้ำนิน ผวน=กินน้ำ,คำผวน
กาอะไรเอ่ยปากกว้างมาก,กาซิล็อต,กาซิล็อต(ก็อตซิล่า),คำผวน
หอยอะไรเดินได้,หอยย่าง,หอยย่าง (ย่าง=เดิน),General
เวลาเปาปุ้นจิ้นโกรธมักจะเรียกแขกคนไหนมา,บังอาจ,บังอาจ (ไม่บอกก็รู้),General
เกาะอะไรหนูเยอะที่สุด,เกาะแน่นแน่นหน่อยนะน้องนะ,เกาะแน่นแน่นหน่อยนะน้องนะ,General
เกาะอะไรมีเสาไฟฟ้า,เกาะกลางถนน,เกาะกลางถนนไง,General
ขนมอะไรวัวกินเเล้วบินได้,โคล่อน,ขนม”โคล่อน”,General
จรวดอะไรไม่มีทางมองเห็นได้เลย,จรวดมิดทราย,จรวดมิดทราย,General
ควายออกลูกเป็นวัวเป็นยังไง,เป็นไปไม่ได้,เป็นไปไม่ได้,General
หมาอะไรผอมแห้งแรงน้อย,หมาไม่แดก,หมาไม่แดก,General
เวลาหนูตื่นนอนทำไมชอบหันซ้ายที ขวาที,เพราะมันหันพร้อมกันไม่ได้,เพราะมันหันพร้อมกันไม่ได้ (จิงมั้ย),General
หมีอะไรใช้ชีวิตอยู่ในทะเล,หมีบ้านคุณสิ,หมีบ้านคุณสิ,General
ทำไมนกจึงชอบบินจากทิศเหนือมาทิศใต้,มันเดินไม่ไหว,ก็มันเดินมาไม่ไหวสิคุณ,General
มีเด็กอยู่คนนึงเล่นบาสอยู่เล่นจนค่ำ แม่ก็มารับทำไมเด็กคนนั้นจึงโยนลูกบาสใส่หน้าแม่,แม่เป็นห่วง,เพราะแม่เป็นห่วง,General
เธอคือคนที่ใส่ไข่ ของฉันหมายความว่าไร,พิเศษ,เธอคือคนพิเศษของฉัน (พิเศษใส่ไข่ไง),General
หมาอะไรเอ่ยขึ้นต้นมะพร้าวได้,หมาพยายาม,หมาพยายาม ,General
ทำไมคำว่า Coca-Cola ถึงต้องใช้ซีตัวใหญ่,ซีเล็กจะเป็นทูน่า,ถ้าเป็นซีเล็กก็กลายเป็นปลาทูน่าอ่ะเด่ะ,General
ผลไม้อะไรเปลือกแข็งที่สุดในโลก,ผลไม้กระป๋อง,ผลไม้กระป๋อง,General
อักษรภาษาอังกฤษตัวใดเป็นญาติกัน,Q S,คิว อาร์ เอส : Q กับ S ( Q R S ),General
ตอนกลางวันพระ จันทร์ไปไหน,ฉันเพล,ไปฉันเพลอ่ะดิ,General
11.00 น. วัดควรเปิดเพลงอะไร,อย่าลืมฉัน,เพลงอย่าลืมฉัน,General
คนที่ตายไปแล้ว คุณคิดว่าเขาไปสบายหรือไปลำบาก ?,สบาย,สบายดิเพราะถ้าลำบากกลับมานานแล้ว,General
ก่อนจะเป็นพยาบาลได้จะต้องเป็นอะไรก่อน,พยาตูม,พยาตูม,General
จังหวัดอะไร ชีอ้อนสงฆ์,สงขลา,สงขลาาาาาาา…,General
ทำไมชี จึงไม่กล้าเข้าจุฬา,กลัวพระเกี้ยว,กลัวพระ เกี้ยว,General
